	S62	S63	S64	S65	S66	S68	S69	S71	S72	S74	S82	S83	S84	S85	S86
FOLSYN-PWY	10799.024825115277	0.0	17819.330647945728	1490.405206849232	251.84883602175026	855.3953072394884	692.3662376358819	2116.163987762818	2208.4199590482594	3956.1689401791527	8170.050412424653	1964.937044298524	8008.04649749855	5538.852685437836	3498.5245716250647
FUC-RHAMCAT-PWY	1808.8685039036855	0.0	4930.854748665752	0.0	0.0	222.3685962217589	31.21212298937803	653.1553884772279	867.3816679251707	117.53923712390464	1660.1707965991627	450.1951885133933	1904.9349230092928	927.6091085710384	882.4763366976847
FUCCAT-PWY	1333.3749755044896	0.0	6152.764407713089	0.0	77.69193998282059	296.44154888737853	32.554698865263305	833.3965519211099	1138.732020971047	155.99019518798744	2183.0987070692063	780.2252151901971	2543.632038991428	2024.3291771502772	1203.0464570971817
GALACT-GLUCUROCAT-PWY	4321.259520278513	0.0	5754.395486285232	0.0	126.31111555104101	246.9178518958475	35.85956063085091	825.610765601735	924.0930945863253	98.37542274733411	2326.9811953266203	773.6052958132913	2752.436568651741	2301.5473389605204	1233.787482477666
GALACTARDEG-PWY	683.6323390416389	0.0	230.95453431968477	0.0	0.0	0.29215607624356826	0.0	0.0	0.0	5.677093079608317	78.51102262343328	9.847900508262084	76.97433080326373	331.27091879152266	87.48594715114244
GALACTUROCAT-PWY	6774.96409666158	0.0	6902.5321770420705	0.0	203.9806064694484	229.40838957970914	39.45667216335909	820.6124845730335	1077.8551581358065	129.89949557540223	3595.834698990963	816.3878095961451	3622.9500407993205	3119.452361696284	1332.5656146655504
GALLATE-DEGRADATION-I-PWY	261.57732569468453	0.0	239.0389887200253	0.0	0.0	0.0	0.0	0.0	0.0	268.4435827580819	0.0	0.0	0.0	0.006755998564853861	165.11817625419266
GALLATE-DEGRADATION-II-PWY	173.26714539897662	0.0	239.0389887200253	0.0	0.0	0.0	0.0	0.0	0.0	268.4435827580819	0.0	0.0	0.0	0.006755998564853861	165.11817625419266
GLCMANNANAUT-PWY	5298.381131890782	0.0	12299.85576967866	449.8316394535456	232.5664343108404	684.9695962482746	39.27269581589467	1596.4521386409228	1801.3204403064683	161.04240886551938	4925.080891470138	911.0149880383898	4577.883870207393	1955.350425157099	2774.4737344062796
GLUCARDEG-PWY	753.2284435054028	0.0	304.41196645788165	0.0	0.0	0.29317095310036984	0.0	0.0	0.0	0.0	128.1304303450221	10.004653887064661	87.02777342534657	331.27091879152266	94.47396060522591
